Ticker,Date,Open in USD,High in USD,Low in USD,Close in USD,Adj Close in USD,Volume in Billions
BCH,7/1/2017,555.89,578.97,217.06,294.46,294.46,0.01
BCH,8/1/2017,294.6,1091.97,200.98,588.17,588.17,17.12
BCH,9/1/2017,588.4,707.98,301.69,432.63,432.63,11.31
BCH,10/1/2017,433.38,526.12,289.04,439.05,439.05,10.86
BCH,11/1/2017,438.3,2477.65,437.91,1256.33,1256.33,66.78
BCH,12/1/2017,1381.81,4355.62,1226.21,2533.01,2533.01,64.49
BCH,1/1/2018,2534.82,3071.16,1361.02,1486.89,1486.89,42.24
BCH,2/1/2018,1491.12,1641.4,764.02,1204.16,1204.16,19.15
BCH,3/1/2018,1204.84,1303.66,677.53,685.25,685.25,12.34
BCH,4/1/2018,688.01,1560.94,603.71,1350.05,1350.05,19.91
BCH,5/1/2018,1348.64,1838.49,880.89,995.34,995.34,29.66
BCH,6/1/2018,995.66,1206.53,651.21,748.71,748.71,15.39
BCH,7/1/2018,749.18,880.98,669.52,777.15,777.15,15.96
BCH,8/1/2018,779.95,779.95,481.43,543.08,543.08,11.03
BCH,9/1/2018,543.96,653.69,413.04,529.92,529.92,13.28
BCH,10/1/2018,531.64,547.49,411.52,422.86,422.86,10.44
BCH,11/1/2018,423.07,638.55,154.28,173.07,173.07,15.21
BCH,12/1/2018,172.52,229.01,75.08,151.05,151.05,10.01
BCH,1/1/2019,150.9,175.46,108.09,114.81,114.81,7.09
BCH,2/1/2019,114.8,157.65,111.84,132.19,132.19,8.77
BCH,3/1/2019,132.08,177.73,123.25,168.94,168.94,12.16
BCH,4/1/2019,168.9,342.87,167.09,267.76,267.76,47.46
BCH,5/1/2019,267.99,478.53,266.46,445.07,445.07,80.23
BCH,6/1/2019,445.03,522.09,368.95,399.47,399.47,59.11
BCH,7/1/2019,399.83,428.36,258.65,326.57,326.57,52.27
BCH,8/1/2019,326.59,353.7,272.88,279.94,279.94,43.36
BCH,9/1/2019,279.99,332.89,208.17,228.12,228.12,58.64
BCH,10/1/2019,228.26,303.61,203.07,284.48,284.48,57.32
BCH,11/1/2019,284.49,307.36,194.76,218.91,218.91,61.51
BCH,12/1/2019,218.99,221.66,172.95,204.62,204.62,45.58
BCH,1/1/2020,204.67,398.89,192.98,375.39,375.39,98.31
BCH,2/1/2020,375.07,493.03,301.71,308.33,308.33,139
BCH,3/1/2020,308.26,351.5,139.22,219.63,219.63,175
BCH,4/1/2020,219.26,277.65,209.52,249.84,249.84,112
BCH,5/1/2020,249.94,274.46,221.54,239.88,239.88,103
BCH,6/1/2020,239.85,266.47,214.19,221.99,221.99,53.91
BCH,7/1/2020,222.57,304.6,217.69,300.5,300.5,40.86
BCH,8/1/2020,300.5,334.78,260.73,274.54,274.54,53.6
BCH,9/1/2020,274.48,295.45,205.66,228.1,228.1,54.4
BCH,10/1/2020,228.21,274.69,217.92,270.31,270.31,42.02
BCH,10/24/2020,271.06,276.45,267.95,274.37,274.37,2.19
BNB,7/1/2017,0.12,0.12,0.1,0.1,0.1,0
BNB,8/1/2017,0.1,3.29,0.1,2.1,2.1,0.79
BNB,9/1/2017,2.2,2.85,0.53,1.29,1.29,0.3
BNB,10/1/2017,1.28,2.03,1.1,1.31,1.31,0.15
BNB,11/1/2017,1.34,2.17,1.2,2,2,0.42
BNB,12/1/2017,2,11.3,1.92,8.64,8.64,1.72
BNB,1/1/2018,8.63,24.91,7.96,11.14,11.14,5.9
BNB,2/1/2018,11.18,11.87,5.59,10.44,10.44,1.81
BNB,3/1/2018,10.45,14.84,7.17,11.06,11.06,2.93
BNB,4/1/2018,11.15,15.93,10.38,14.31,14.31,3.19
BNB,5/1/2018,14.31,16.22,11.7,14.19,14.19,2.26
BNB,6/1/2018,14.25,17.44,13.54,14.66,14.66,2.58
BNB,7/1/2018,14.68,14.87,11.65,13.78,13.78,1.47
BNB,8/1/2018,13.77,14.46,8.66,11.01,11.01,1.08
BNB,9/1/2018,11.03,11.54,9.04,10.02,10.02,0.68
BNB,10/1/2018,10.01,10.75,9.24,9.36,9.36,0.9
BNB,11/1/2018,9.37,9.88,4.44,5.08,5.08,0.52
BNB,12/1/2018,5.09,6.59,4.19,6.16,6.16,0.71
